Original URL,Final URL,Status Code,Meta Robots,X-Robots-Tag,Googlebot Tag,Error
https://nethradhama.org/blog/dry-eye-syndrome-causes-symptoms-and-relief-options/,https://nethradhama.org/blog/dry-eyes/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/squint-eye-treatment-without-surgery/,https://nethradhama.org/blog/squint-eye-treatment-without-surgery/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/iritis/,https://nethradhama.org/blog/iritis/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/blepharitis/,https://nethradhama.org/blog/blepharitis/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/strabismus-vs-squint-key-differences/,https://nethradhama.org/blog/strabismus-vs-squint-key-differences/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/eye-allergies/,https://nethradhama.org/blog/eye-allergies/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/cataract-surgery-in-diabetic-patients-special-considerations/,https://nethradhama.org/blog/cataract-surgery-in-diabetic-patients-special-considerations/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/cataract-surgery-how-to-choose-the-best-eye-care-center-for-your-needs/,https://nethradhama.org/blog/cataract-surgery-how-to-choose-the-best-eye-care-center-for-your-needs/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/lasik-vs-icl/,https://nethradhama.org/blog/lasik-vs-icl/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/pros-and-cons-of-lasik-surgery/,https://nethradhama.org/blog/pros-and-cons-of-lasik-surgery/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/precautions-after-cataract-surgery/,https://nethradhama.org/blog/precautions-after-cataract-surgery/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
https://nethradhama.org/blog/corneal-abrasion/,https://nethradhama.org/blog/corneal-abrasion/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",None,None,
